Totalpris,Adresse,Postnummer,Størrelse,URL
4017276,Løvsetdalen 18A,1188,79,https://www.finn.no/realestate/homes/ad.html?finnkode=389451026
6274394,Odins gate 16,0266,64,https://www.finn.no/realestate/homes/ad.html?finnkode=390688020
6250193,Fagerheimgata 9E,0567,67,https://www.finn.no/realestate/homes/ad.html?finnkode=388804680
6399240,Vardøgata 1,0565,66,https://www.finn.no/realestate/homes/ad.html?finnkode=390653705
4284111,Nyquistveien 32B,1176,65,https://www.finn.no/realestate/homes/ad.html?finnkode=390463322
5979144,Langgata 2A,0566,63,https://www.finn.no/realestate/homes/ad.html?finnkode=389683647
4766452,Lysehagan 50,0380,71,https://www.finn.no/realestate/homes/ad.html?finnkode=386269538
5135990,Grefsenkollveien 23,0490,66,https://www.finn.no/realestate/homes/ad.html?finnkode=388992733
5001171,Midtveien 41,0598,70,https://www.finn.no/realestate/homes/ad.html?finnkode=389435842
5719128,Munkegata 7,0656,66,https://www.finn.no/realestate/homes/ad.html?finnkode=390221767
6458550,Sognsveien 2,0451,66,https://www.finn.no/realestate/homes/ad.html?finnkode=387786330
5421987,Sinsenveien 27B,0585,62,https://www.finn.no/realestate/homes/ad.html?finnkode=389914645
5343903,Sporveisgata 8B,0354,70,https://www.finn.no/realestate/homes/ad.html?finnkode=374594719
4852001,Sars' gate 39,0564,60,https://www.finn.no/realestate/homes/ad.html?finnkode=389821346
4933833,Nils Huus' gate 23,0482,66,https://www.finn.no/realestate/homes/ad.html?finnkode=368028347
4386674,Dælenenggata 40B,0567,61,https://www.finn.no/realestate/homes/ad.html?finnkode=390169965
5443690,Gladengveien 8 A,0661,61,https://www.finn.no/realestate/homes/ad.html?finnkode=389388403
5452313,Dælenenggata 21C,0567,58,https://www.finn.no/realestate/homes/ad.html?finnkode=368556769
5474125,Sars' gate 37,0564,62,https://www.finn.no/realestate/homes/ad.html?finnkode=390298126
5992071,Søren Jaabæks gate 10A,0460,70,https://www.finn.no/realestate/homes/ad.html?finnkode=380186395
5392850,Grefsenveien 48A,0485,59,https://www.finn.no/realestate/homes/ad.html?finnkode=389784476
4496306,Dronning Ingrids plass 1,0576,59,https://www.finn.no/realestate/homes/ad.html?finnkode=385661716
3881540,Havreveien 37,0680,72,https://www.finn.no/realestate/homes/ad.html?finnkode=390359568
5127532,Uelands gate 59 J,0460,60,https://www.finn.no/realestate/homes/ad.html?finnkode=390299442
5716618,Uelands gate 57K,0457,62,https://www.finn.no/realestate/homes/ad.html?finnkode=389787951
3737698,Haugerudveien 88,0674,60,https://www.finn.no/realestate/homes/ad.html?finnkode=389546830
5268213,Vogts gate 36A,0474,64,https://www.finn.no/realestate/homes/ad.html?finnkode=389273035
5937840,Oscars gate 50 C (Andel 1),0258,58,https://www.finn.no/realestate/homes/ad.html?finnkode=387237978
4143612,Mellombølgen 56,1158,61,https://www.finn.no/realestate/homes/ad.html?finnkode=390517997
6448250,Sinsenveien 47D,0585,62,https://www.finn.no/realestate/homes/ad.html?finnkode=385166364
5777475,Valhallveien 5E,0196,64,https://www.finn.no/realestate/homes/ad.html?finnkode=389362732
4986600,Nils Bays vei 86,0855,66,https://www.finn.no/realestate/homes/ad.html?finnkode=364209016
4987671,Colletts gate 71,0456,70,https://www.finn.no/realestate/homes/ad.html?finnkode=389302216
5549457,Hesselbergs gate 15B,0555,59,https://www.finn.no/realestate/homes/ad.html?finnkode=388782041
4524402,Grusveien 32,1158,59,https://www.finn.no/realestate/homes/ad.html?finnkode=389788325
3790252,Stallerudveien 119,0693,61,https://www.finn.no/realestate/homes/ad.html?finnkode=389286990
4628102,Vøyensvingen 17,0458,56,https://www.finn.no/realestate/homes/ad.html?finnkode=386189606
5195709,Christies gate 30B,0557,68,https://www.finn.no/realestate/homes/ad.html?finnkode=389917410
3767452,Tvetenveien 233,0675,72,https://www.finn.no/realestate/homes/ad.html?finnkode=389380073
5590052,Dælenenggata 40D,0567,62,https://www.finn.no/realestate/homes/ad.html?finnkode=389118178
3807047,Kantarellen terrasse 26,1286,85,https://www.finn.no/realestate/homes/ad.html?finnkode=389398333
5480767,Einars vei 34,0575,61,https://www.finn.no/realestate/homes/ad.html?finnkode=389121632
6099840,Hovinveien 37F,0576,64,https://www.finn.no/realestate/homes/ad.html?finnkode=389940821
6168662,Sars' gate 2A,0562,65,https://www.finn.no/realestate/homes/ad.html?finnkode=366641394
5154220,Grindbakken 52,0764,63,https://www.finn.no/realestate/homes/ad.html?finnkode=390441976
5881143,Bjerregaards gate 37B,0174,57,https://www.finn.no/realestate/homes/ad.html?finnkode=389422368
